month,market,channel,product,product_cost,freight_cost,tariff_cost,warehouse_cost
2025-01,China,Amazon,Robot Vacuum,3741994.54,333704.33,166852.17,125139.12
2025-01,China,Amazon,Wet-Dry Vacuum,1465406.32,118174.53,59087.27,44315.45
2025-01,China,Amazon,Stick Vacuum,808662.44,63389.78,31694.89,23771.17
2025-01,China,Amazon,Washer-Dryer,719547.02,53115.71,26557.85,19918.39
2025-01,China,Amazon,Other Smart Home,702287.63,59060.63,29530.31,22147.74
2025-01,China,Official Website,Robot Vacuum,1734627.08,148204.15,74102.07,55576.55
2025-01,China,Official Website,Wet-Dry Vacuum,558479.34,46811.41,23405.71,17554.28
2025-01,China,Official Website,Stick Vacuum,359047.78,27509.35,13754.68,10316.01
2025-01,China,Official Website,Washer-Dryer,304960.77,23473.91,11736.96,8802.72
2025-01,China,Official Website,Other Smart Home,313655.0,25594.87,12797.44,9598.08
2025-01,China,Offline Retail,Robot Vacuum,2358841.32,200789.19,100394.59,75295.94
2025-01,China,Offline Retail,Wet-Dry Vacuum,792222.18,66403.85,33201.92,24901.44
2025-01,China,Offline Retail,Stick Vacuum,435260.84,34594.22,17297.11,12972.83
2025-01,China,Offline Retail,Washer-Dryer,393974.2,29177.53,14588.77,10941.57
2025-01,China,Offline Retail,Other Smart Home,390465.62,32669.15,16334.58,12250.93
2025-01,China,Distributors,Robot Vacuum,2196229.85,203275.59,101637.79,76228.34
2025-01,China,Distributors,Wet-Dry Vacuum,858114.93,67189.92,33594.96,25196.22
2025-01,China,Distributors,Stick Vacuum,471706.02,38275.9,19137.95,14353.46
2025-01,China,Distributors,Washer-Dryer,399410.36,30578.24,15289.12,11466.84
2025-01,China,Distributors,Other Smart Home,377794.72,30427.66,15213.83,11410.37
2025-01,China,Other E-commerce,Robot Vacuum,1138432.13,103075.59,51537.8,38653.35
2025-01,China,Other E-commerce,Wet-Dry Vacuum,392542.33,33731.78,16865.89,12649.42
2025-01,China,Other E-commerce,Stick Vacuum,236046.09,18741.03,9370.51,7027.89
2025-01,China,Other E-commerce,Washer-Dryer,214426.68,17432.07,8716.04,6537.03
2025-01,China,Other E-commerce,Other Smart Home,201201.1,16912.84,8456.42,6342.31
2025-01,United States,Amazon,Robot Vacuum,1606910.35,141794.12,177242.66,53172.8
2025-01,United States,Amazon,Wet-Dry Vacuum,526499.52,44233.19,55291.48,16587.44
2025-01,United States,Amazon,Stick Vacuum,308938.62,25915.05,32393.81,9718.14
2025-01,United States,Amazon,Washer-Dryer,261567.6,19202.23,24002.79,7200.84
2025-01,United States,Amazon,Other Smart Home,267284.48,22204.74,27755.92,8326.78
2025-01,United States,Official Website,Robot Vacuum,664233.48,56612.35,70765.44,21229.63
2025-01,United States,Official Website,Wet-Dry Vacuum,245124.65,20587.66,25734.58,7720.37
2025-01,United States,Official Website,Stick Vacuum,113109.21,9294.1,11617.63,3485.29
2025-01,United States,Official Website,Washer-Dryer,111161.04,8482.35,10602.94,3180.88
2025-01,United States,Official Website,Other Smart Home,101126.51,8482.12,10602.65,3180.79
2025-01,United States,Offline Retail,Robot Vacuum,860613.6,79300.91,99126.14,29737.84
2025-01,United States,Offline Retail,Wet-Dry Vacuum,309369.34,24692.02,30865.03,9259.51
2025-01,United States,Offline Retail,Stick Vacuum,158693.58,12937.0,16171.24,4851.37
2025-01,United States,Offline Retail,Washer-Dryer,129551.63,10547.83,13184.79,3955.44
2025-01,United States,Offline Retail,Other Smart Home,158779.7,12724.63,15905.79,4771.74
2025-01,United States,Distributors,Robot Vacuum,835663.13,75422.23,94277.78,28283.33
2025-01,United States,Distributors,Wet-Dry Vacuum,288344.35,24474.99,30593.74,9178.12
2025-01,United States,Distributors,Stick Vacuum,155365.37,13124.31,16405.39,4921.62
2025-01,United States,Distributors,Washer-Dryer,164372.76,12016.46,15020.57,4506.17
2025-01,United States,Distributors,Other Smart Home,145312.52,12596.67,15745.84,4723.75
2025-01,United States,Other E-commerce,Robot Vacuum,407510.26,36159.73,45199.66,13559.9
2025-01,United States,Other E-commerce,Wet-Dry Vacuum,139766.49,11336.82,14171.03,4251.31
2025-01,United States,Other E-commerce,Stick Vacuum,85966.49,6791.4,8489.25,2546.77
2025-01,United States,Other E-commerce,Washer-Dryer,64942.38,5004.52,6255.66,1876.7
2025-01,United States,Other E-commerce,Other Smart Home,66374.44,5828.76,7285.95,2185.79
2025-01,Germany,Amazon,Robot Vacuum,609363.36,55514.17,27757.08,20817.81
2025-01,Germany,Amazon,Wet-Dry Vacuum,229344.75,19004.99,9502.49,7126.87
2025-01,Germany,Amazon,Stick Vacuum,127942.08,10482.92,5241.46,3931.1
2025-01,Germany,Amazon,Washer-Dryer,108685.4,8309.72,4154.86,3116.14
2025-01,Germany,Amazon,Other Smart Home,128787.68,10517.21,5258.6,3943.95
2025-01,Germany,Official Website,Robot Vacuum,270800.32,23395.59,11697.8,8773.35
2025-01,Germany,Official Website,Wet-Dry Vacuum,98790.76,8546.97,4273.48,3205.11
2025-01,Germany,Official Website,Stick Vacuum,66907.67,5021.69,2510.84,1883.13
2025-01,Germany,Official Website,Washer-Dryer,50796.26,3819.46,1909.73,1432.3
2025-01,Germany,Official Website,Roborock H1 (Unreleased),45304.4,3775.56,1887.78,1415.84
2025-01,Germany,Offline Retail,Robot Vacuum,400450.64,34468.96,17234.48,12925.86
2025-01,Germany,Offline Retail,Wet-Dry Vacuum,131514.49,10233.36,5116.68,3837.51
2025-01,Germany,Offline Retail,Stick Vacuum,72056.25,6024.53,3012.26,2259.2
2025-01,Germany,Offline Retail,Washer-Dryer,63238.69,4897.61,2448.81,1836.6
2025-01,Germany,Offline Retail,Other Smart Home,56371.04,5058.53,2529.26,1896.95
2025-01,Germany,Distributors,Robot Vacuum,311314.43,27513.38,13756.69,10317.52
2025-01,Germany,Distributors,Wet-Dry Vacuum,123687.09,10195.5,5097.75,3823.31
2025-01,Germany,Distributors,Stick Vacuum,73595.31,5894.55,2947.28,2210.46
2025-01,Germany,Distributors,Washer-Dryer,57070.72,4477.99,2238.99,1679.24
2025-01,Germany,Distributors,Other Smart Home,65450.02,5811.49,2905.74,2179.31
2025-01,Germany,Other E-commerce,Robot Vacuum,175131.56,15394.74,7697.37,5773.03
2025-01,Germany,Other E-commerce,Wet-Dry Vacuum,64940.48,5185.3,2592.65,1944.49
2025-01,Germany,Other E-commerce,Stick Vacuum,37673.24,3068.26,1534.13,1150.6
2025-01,Germany,Other E-commerce,Washer-Dryer,27992.77,2125.23,1062.62,796.96
2025-01,Germany,Other E-commerce,Other Smart Home,31168.7,2725.62,1362.81,1022.11
2025-01,United Kingdom,Amazon,Robot Vacuum,397584.1,34862.62,17431.31,13073.48
2025-01,United Kingdom,Amazon,Wet-Dry Vacuum,133559.92,11262.91,5631.46,4223.59
2025-01,United Kingdom,Amazon,Stick Vacuum,73401.54,6009.58,3004.79,2253.59
2025-01,United Kingdom,Amazon,Washer-Dryer,63183.27,4973.71,2486.85,1865.14
2025-01,United Kingdom,Amazon,Other Smart Home,64847.52,5468.53,2734.27,2050.7
2025-01,United Kingdom,Official Website,Robot Vacuum,177488.95,15597.84,7798.92,5849.19
2025-01,United Kingdom,Official Website,Wet-Dry Vacuum,61476.83,5333.0,2666.5,1999.88
2025-01,United Kingdom,Official Website,Stick Vacuum,31806.44,2575.19,1287.6,965.7
2025-01,United Kingdom,Official Website,Washer-Dryer,31554.43,2430.29,1215.14,911.36
2025-01,United Kingdom,Official Website,Other Smart Home,25871.22,2229.44,1114.72,836.04
2025-01,United Kingdom,Offline Retail,Robot Vacuum,243748.71,20558.45,10279.23,7709.42
2025-01,United Kingdom,Offline Retail,Wet-Dry Vacuum,77497.0,6627.79,3313.89,2485.42
2025-01,United Kingdom,Offline Retail,Stick Vacuum,43092.27,3518.03,1759.02,1319.26
2025-01,United Kingdom,Offline Retail,Washer-Dryer,36273.56,2874.64,1437.32,1077.99
2025-01,United Kingdom,Offline Retail,Other Smart Home,40312.79,3187.42,1593.71,1195.28
2025-01,United Kingdom,Distributors,Robot Vacuum,234962.81,20544.8,10272.4,7704.3
2025-01,United Kingdom,Distributors,Wet-Dry Vacuum,76565.3,6564.9,3282.45,2461.84
2025-01,United Kingdom,Distributors,Stick Vacuum,44673.22,3459.06,1729.53,1297.15
2025-01,United Kingdom,Distributors,Washer-Dryer,39175.98,2995.5,1497.75,1123.31
2025-01,United Kingdom,Distributors,Other Smart Home,39596.46,3274.43,1637.22,1227.91
2025-01,United Kingdom,Other E-commerce,Robot Vacuum,118009.69,10599.29,5299.64,3974.73
2025-01,United Kingdom,Other E-commerce,Wet-Dry Vacuum,37813.4,3223.59,1611.8,1208.85
2025-01,United Kingdom,Other E-commerce,Stick Vacuum,22929.96,1816.0,908.0,681.0
2025-01,United Kingdom,Other E-commerce,Washer-Dryer,19826.99,1550.51,775.25,581.44
2025-01,United Kingdom,Other E-commerce,Other Smart Home,21927.03,1732.81,866.4,649.8
2025-01,Japan,Amazon,Robot Vacuum,567000.51,52395.19,26197.59,19648.2
2025-01,Japan,Amazon,Wet-Dry Vacuum,196343.14,15641.11,7820.56,5865.42
2025-01,Japan,Amazon,Stick Vacuum,114607.34,9199.31,4599.65,3449.74
2025-01,Japan,Amazon,Washer-Dryer,93011.05,7091.07,3545.54,2659.15
2025-01,Japan,Amazon,Other Smart Home,98045.42,7971.21,3985.61,2989.21
2025-01,Japan,Official Website,Robot Vacuum,249692.66,22622.64,11311.32,8483.49
2025-01,Japan,Official Website,Wet-Dry Vacuum,91096.69,7399.54,3699.77,2774.83
2025-01,Japan,Official Website,Stick Vacuum,48327.77,4208.02,2104.01,1578.01
2025-01,Japan,Official Website,Washer-Dryer,40236.73,3163.46,1581.73,1186.3
2025-01,Japan,Official Website,Other Smart Home,42893.62,3676.38,1838.19,1378.64
2025-01,Japan,Offline Retail,Robot Vacuum,305675.5,28232.86,14116.43,10587.32
2025-01,Japan,Offline Retail,Wet-Dry Vacuum,107700.62,9033.3,4516.65,3387.49
2025-01,Japan,Offline Retail,Stick Vacuum,64182.64,5075.87,2537.94,1903.45
2025-01,Japan,Offline Retail,Washer-Dryer,55237.95,4161.35,2080.68,1560.51
2025-01,Japan,Offline Retail,Other Smart Home,52701.03,4360.24,2180.12,1635.09
2025-01,Japan,Distributors,Robot Vacuum,312069.23,28304.76,14152.38,10614.28
2025-01,Japan,Distributors,Wet-Dry Vacuum,111159.31,9161.85,4580.92,3435.69
2025-01,Japan,Distributors,Stick Vacuum,71925.66,5732.68,2866.34,2149.75
2025-01,Japan,Distributors,Washer-Dryer,60232.5,4506.71,2253.36,1690.02
2025-01,Japan,Distributors,Other Smart Home,61757.01,5029.2,2514.6,1885.95
2025-01,Japan,Other E-commerce,Robot Vacuum,160767.12,14277.36,7138.68,5354.01
2025-01,Japan,Other E-commerce,Wet-Dry Vacuum,52145.92,4465.7,2232.85,1674.64
2025-01,Japan,Other E-commerce,Stick Vacuum,31953.07,2607.32,1303.66,977.74
2025-01,Japan,Other E-commerce,Washer-Dryer,25668.62,2007.62,1003.81,752.86
2025-01,Japan,Other E-commerce,Other Smart Home,29142.19,2451.7,1225.85,919.39
2025-01,Rest of Europe,Amazon,Roborock H1 (Unreleased),566048.93,46794.45,58493.06,17547.92
2025-01,Rest of Europe,Amazon,Wet-Dry Vacuum,194722.25,15886.02,19857.52,5957.26
2025-01,Rest of Europe,Amazon,Stick Vacuum,104880.23,8403.31,10504.13,3151.24
2025-01,Rest of Europe,Amazon,Washer-Dryer,86273.78,6633.24,8291.54,2487.46
2025-01,Rest of Europe,Amazon,Other Smart Home,94932.21,7877.15,9846.44,2953.93
2025-01,Rest of Europe,Official Website,Robot Vacuum,227275.14,20519.82,25649.78,7694.93
2025-01,Rest of Europe,Official Website,Wet-Dry Vacuum,78494.02,6727.95,8409.94,2522.98
2025-01,Rest of Europe,Official Website,Stick Vacuum,45854.85,3872.32,4840.4,1452.12
2025-01,Rest of Europe,Official Website,Washer-Dryer,36157.66,2840.6,3550.75,1065.22
2025-01,Rest of Europe,Official Website,Other Smart Home,38977.55,3202.67,4003.34,1201.0
2025-01,Rest of Europe,Offline Retail,Robot Vacuum,297068.22,26974.89,33718.62,10115.58
2025-01,Rest of Europe,Offline Retail,Wet-Dry Vacuum,107969.36,9062.1,11327.62,3398.29
2025-01,Rest of Europe,Offline Retail,Stick Vacuum,67470.23,5323.13,6653.92,1996.17
2025-01,Rest of Europe,Offline Retail,Washer-Dryer,54608.14,4136.02,5170.02,1551.01
2025-01,Rest of Europe,Offline Retail,Other Smart Home,51392.04,4426.01,5532.51,1659.75
2025-01,Rest of Europe,Distributors,Robot Vacuum,306515.85,26454.55,33068.19,9920.46
2025-01,Rest of Europe,Distributors,Wet-Dry Vacuum,112971.43,9106.31,11382.88,3414.86
2025-01,Rest of Europe,Distributors,Stick Vacuum,60268.75,4990.66,6238.33,1871.5
2025-01,Rest of Europe,Distributors,Washer-Dryer,52190.15,4116.36,5145.45,1543.64
2025-01,Rest of Europe,Distributors,Other Smart Home,54299.8,4368.87,5461.09,1638.33
2025-01,Rest of Europe,Other E-commerce,Robot Vacuum,170636.13,15234.77,19043.47,5713.04
2025-01,Rest of Europe,Other E-commerce,Wet-Dry Vacuum,51589.41,4605.84,5757.29,1727.19
2025-01,Rest of Europe,Other E-commerce,Stick Vacuum,31428.27,2624.46,3280.58,984.17
